Final Migration (Active) (Other Residence):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Residential (Clients) > Residential (Clients) (FC/RES)
Region(s)/Division(s): Georgia/Dalton, Metro Atlanta, Savannah, Valdosta
Home Program(s): Residential
Primary Case Wkr Role: Family Consultant
Primary Home Wkr Role: Family Consultant
(Provider Type: Other Residence; Placement Type: Residential; Funding Org: TBD; RateSheet: TBD; Category: CCI,ILP, TLP; Location: Dalton, Metro Atlanta, Savannah, Valdosta)"
Region(s)/Division(s): Georgia/Dalton, Metro Atlanta, Savannah, Valdosta
Home Program(s): Residential,,,,,251,1
Primary Case Wkr Role: Family Consultant
Primary Home Wkr Role: Family Consultant
(Provider Type: Other Residence; Placement Type: Residential; Funding Org: TBD; RateSheet: TBD; Category: CCI,ILP, TLP; Location: Dalton, Metro Atlanta, Savannah, Valdosta)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Expected,,Kicked Off At,Total,Updated,14,Skipped,Took,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,251,F_THERAPIST,2/8/2023 8:20,252,323,0,0,1 minute,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff Signatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,(Times in CST),,,,,1 minute,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Expected,,Kicked Off At,Total,Updated,New,Skipped,Took,,,,,,,,,,,,,,,,,,,,,,,,,,
Clients,"578 Active + ,,,,,11,0
  20 Pending +
1,796 Denied Referrals",F_CLIENT,2/8/2023 8:21,"4,505","4,491",46,0,75 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,
Assign Staff > Clients,323,F_CLIENT,2/8/2023 9:56,421,323,0,98,23 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,98 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# Expected,,Kicked Off At,Total,Updated,0,Skipped,Took,,,,,,,,,,,,,,,,,,,,,,,,,,
Homes (Other Residence/Residential),12,F_PROVIDER,2/8/2023 10:43,11,11,0,0,<1 minute,,,,,,,,,,,,,,,,,,,,,,,,,,
